time,open_price,high_price,low_price,close_price,complete,volume
2018-01-01T22:00:00.000000000Z,112.666,112.692,112.582,112.592,True,749
2018-01-01T23:00:00.000000000Z,112.594,112.790,112.594,112.773,True,1220
2018-01-02T00:00:00.000000000Z,112.775,112.793,112.722,112.736,True,381
2018-01-02T01:00:00.000000000Z,112.738,112.752,112.659,112.723,True,618
2018-01-02T02:00:00.000000000Z,112.720,112.751,112.704,112.714,True,319
2018-01-02T03:00:00.000000000Z,112.712,112.721,112.666,112.702,True,251
2018-01-02T04:00:00.000000000Z,112.705,112.730,112.694,112.710,True,197
2018-01-02T05:00:00.000000000Z,112.712,112.739,112.667,112.688,True,242
2018-01-02T06:00:00.000000000Z,112.691,112.700,112.649,112.666,True,367
2018-01-02T07:00:00.000000000Z,112.669,112.687,112.612,112.631,True,545
2018-01-02T08:00:00.000000000Z,112.628,112.638,112.378,112.386,True,837
2018-01-02T09:00:00.000000000Z,112.384,112.402,112.249,112.252,True,477
2018-01-02T10:00:00.000000000Z,112.254,112.282,112.119,112.139,True,609
2018-01-02T11:00:00.000000000Z,112.141,112.234,112.134,112.232,True,315
2018-01-02T12:00:00.000000000Z,112.234,112.236,112.144,112.164,True,369
2018-01-02T13:00:00.000000000Z,112.162,112.188,112.086,112.124,True,763
2018-01-02T14:00:00.000000000Z,112.122,112.248,112.058,112.232,True,1009
2018-01-02T15:00:00.000000000Z,112.230,112.270,112.132,112.150,True,1227
2018-01-02T16:00:00.000000000Z,112.152,112.261,112.099,112.173,True,984
2018-01-02T17:00:00.000000000Z,112.176,112.304,112.166,112.285,True,561
2018-01-02T18:00:00.000000000Z,112.288,112.354,112.268,112.337,True,390
2018-01-02T19:00:00.000000000Z,112.334,112.345,112.256,112.258,True,300
2018-01-02T20:00:00.000000000Z,112.260,112.284,112.244,112.273,True,352
2018-01-02T21:00:00.000000000Z,112.270,112.322,112.252,112.291,True,226
2018-01-02T22:00:00.000000000Z,112.284,112.366,112.221,112.230,True,809
2018-01-02T23:00:00.000000000Z,112.228,112.282,112.174,112.256,True,603
2018-01-03T00:00:00.000000000Z,112.258,112.362,112.218,112.340,True,716
2018-01-03T01:00:00.000000000Z,112.338,112.358,112.268,112.319,True,436
2018-01-03T02:00:00.000000000Z,112.316,112.396,112.306,112.384,True,371
2018-01-03T03:00:00.000000000Z,112.386,112.388,112.326,112.342,True,207
2018-01-03T04:00:00.000000000Z,112.344,112.348,112.266,112.327,True,169
2018-01-03T05:00:00.000000000Z,112.324,112.332,112.270,112.280,True,226
2018-01-03T06:00:00.000000000Z,112.278,112.314,112.240,112.304,True,308
2018-01-03T07:00:00.000000000Z,112.302,112.392,112.296,112.354,True,540
2018-01-03T08:00:00.000000000Z,112.356,112.380,112.298,112.345,True,534
2018-01-03T09:00:00.000000000Z,112.348,112.362,112.294,112.300,True,341
2018-01-03T10:00:00.000000000Z,112.298,112.327,112.214,112.250,True,526
2018-01-03T11:00:00.000000000Z,112.248,112.282,112.226,112.236,True,466
2018-01-03T12:00:00.000000000Z,112.234,112.281,112.198,112.259,True,375
2018-01-03T13:00:00.000000000Z,112.256,112.275,112.222,112.230,True,472
2018-01-03T14:00:00.000000000Z,112.232,112.281,112.195,112.230,True,629
2018-01-03T15:00:00.000000000Z,112.232,112.500,112.232,112.397,True,1421
2018-01-03T16:00:00.000000000Z,112.400,112.400,112.280,112.292,True,561
2018-01-03T17:00:00.000000000Z,112.289,112.364,112.276,112.334,True,333
2018-01-03T18:00:00.000000000Z,112.336,112.360,112.304,112.316,True,250
2018-01-03T19:00:00.000000000Z,112.314,112.609,112.301,112.527,True,1557
2018-01-03T20:00:00.000000000Z,112.524,112.526,112.412,112.462,True,579
2018-01-03T21:00:00.000000000Z,112.464,112.525,112.445,112.509,True,306
2018-01-03T22:00:00.000000000Z,112.509,112.564,112.480,112.546,True,502
2018-01-03T23:00:00.000000000Z,112.548,112.624,112.534,112.609,True,340
2018-01-04T00:00:00.000000000Z,112.612,112.728,112.610,112.685,True,789
2018-01-04T01:00:00.000000000Z,112.687,112.778,112.683,112.728,True,637
2018-01-04T02:00:00.000000000Z,112.731,112.731,112.641,112.646,True,616
2018-01-04T03:00:00.000000000Z,112.648,112.692,112.641,112.665,True,301
2018-01-04T04:00:00.000000000Z,112.662,112.670,112.618,112.652,True,328
